date,author,likes,score,content
2019/2/14 5:41,-胐_胐-,0,10,期待《国家宝藏》第三季！
2019/2/14 4:39,LZKDBS,0,10,很好看(??ω??)?
2019/2/14 2:59,籼籼籼籼籼米,0,10,真是太有意义了，希望官方能多出一些这样的节目普及传统文化
2019/2/13 15:41,神冥魔狱,1,10,超级超级棒，文案啊各方面。第三季再见啦！
2018/12/6 5:32,小柒公举,0,10,不说别的！只想吹爆！
2019/2/13 18:57,心唯恋雪,0,10,爱我华夏
2019/2/13 15:21,我好他妈帅,0,10,好|???)っ
2019/2/13 14:50,素质弹幕,0,10,加油！第三季见
2019/2/13 13:32,琳与与与,0,10,中华人民之瑰宝
2019/2/13 13:14,顧叁肆,0,10,中华人民共和国
2019/2/13 13:12,想要一对柳叶眉的阿金,0,10,很舒服的节目，让我这个三十八线小城市的人可以通过这个节目了解国宝，虽然话说的太白了，但这是真的！哈哈哈穷逼没办法一个个博物馆看过去，又不占地利，这是最经济实惠的平台啦
2019/2/13 11:35,正版绿兔砸头顶青天,0,10,这些文物与背后承载的历史文化，是我们泱泱大国的魂魄啊
2019/2/13 8:06,金木二花,0,10,江西博物馆冲鸭！！
2019/2/13 5:13,徐沐陽,0,10,守护历史，守护国家宝藏！
2019/2/13 5:00,黑球小黑吱,0,10,哼
2019/2/12 7:52,浅诚语,1,10,历史与文化的交融，中华传承五千多年的瑰丽传奇，这样一档节目不仅唤醒了文化传承之魂，更唤醒了中华之魂
2019/2/12 18:31,妹妹公主,0,10,第一季满分，第二季超满分
2019/2/12 17:38,mzomao,0,10,让我们第三季再见
2019/2/12 17:26,明明夏至,0,10,牛逼！！！！冲鸭！！！
2019/2/12 13:39,风紧gg扯呼,0,10,继续支持！！！加油↖(^ω^)↗！
2019/2/12 12:00,lilyvong,0,10,看得我心潮澎湃，常含泪水，期待第三季！
2019/2/12 11:10,元气满满野孩子,0,10,贵州博物馆会不会上呀( ????? )
2019/2/12 7:49,28号的猫,0,10,超级棒啊啊啊啊
2019/2/12 7:17,枫夜无音,0,10,不知道说什么好，总之给节目疯狂打call啊！
2019/2/12 7:15,feryue,0,10,立足历史和现在的节目，用心制作，传承历史，弘扬文化之魂。
2019/2/12 6:02,陌漓夕寒,0,10,非常棒的一款综艺节目，弘扬中华传统文化，发扬中国生生不息的民族精神，让我们铭记历史，开创未来！
2019/2/12 4:47,李他喵,0,10,承古人之壮美文化，穿万世之华美篇章。
2019/2/12 4:41,名天,0,10,好，看得很开心。
2019/2/11 9:40,周门孟氏的花袜子,1,10,国家宝藏第二季也完美收官啦！这一季令我最热血沸腾的是宝藏是【聂耳小提琴】，“起来，起来！起来！！”   期待第三季(??????)?
2019/2/11 0:39,阿卡麗,1,10,期待第三季
2019/2/10 14:53,歌决,2,10,国家宝藏是一档好看而有意义的节目，中国的文化自信会一步步的根植于新一代上年轻人心中，也会让更多的人认识中华五千年的文明。
2019/2/10 5:27,再见樱花飞散时,2,10,既有底蕴，又有表现力，这么好看的节目再来一百个！
2019/2/11 15:53,榎本健太,0,10,知华夏之勇，知华夏之美。
2019/2/11 15:42,崔斯特杜恶登,0,10,非常棒！特别期待第三季！
2019/2/11 14:36,_桃纸君_,0,10,超棒
2019/2/11 12:44,sky绘韵,0,10,超棒！去录制了国家宝藏年终盛典的宝宝表示现场看更震撼啊啊啊
2019/2/11 12:30,惊澜小透明,0,10,一个综艺节目如果内容主持和舞美后期都好，他就是一个好节目，可以给三颗星，如果他的立意也非常好非常有想法，可以再加一分，如果他的文案是神仙文案，还可以再加一分。
2019/2/11 11:43,青暮雪,0,10,五星级节目！点一千个赞！
2019/2/11 11:14,泠音linyin,0,10,众所周知，国家宝藏是一个大型原创音乐节目······qwq第二季又完结了又要开始漫长的等待了，第三季冲鸭
2019/2/11 8:11,幽浔引,0,10,我爱死这个节目了啊！！！！
2019/2/11 7:30,inner暖阳,0,10,华夏五千年，世世长存，灯火不息
2019/2/11 7:27,Yhikigaya,0,10,超级喜欢国家宝藏，知来处，明去处。
2019/2/11 7:00,流清留白,0,10,棒棒棒棒
2019/2/11 6:38,KrystalWYF,0,10,中国人的信仰就是中国
2019/2/11 5:40,秘之闪电,0,10,国家宝藏！什么都不用说了，期待第三季！
2019/2/11 5:30,黯乄影,0,10,因自己是中国人感到自豪！
2019/2/11 4:51,雨弈_,0,10,一如既往的喜欢呀。
2019/2/11 4:15,西弗勒斯_斯内普snape,0,10,震撼到说不出什么先给个五星好评。
2019/2/11 1:51,要加把劲的yay,0,10,初心从未变，好看，好看。
2019/2/11 0:29,kevin_ovz,0,8,我?椅门低头神游，恍惚，一瞧，却把青梅嗅?...
2019/2/10 17:29,雾撩德仁,1,10,多说无用，期待第三季
2019/1/1 6:28,半夏虚瑾,0,10,三个字，棒极了！！！无论是，文案，舞美，助演，音乐，节目内容和节目效果，都是一等一的棒！我吹爆央视爸爸啊啊啊啊(≧▽≦)正如潇洒说的，看一期国家宝藏比那些爱国主义教育强太多了！！文化自信蹭蹭蹭往上涨！
2018/12/11 13:17,罗兰德拉,0,10,感谢国家宝藏这三个月的陪伴，我们第三季再见！！！
2019/2/10 18:20,月亮是我啃的,0,10,上下五千年啊！！！
2019/2/10 17:23,文荒漫荒备考中,0,10,第二季结束了，期待第三季。学到了很多知识最喜欢金漆木雕大神龛，我会写龛这个字了，以后都不会忘了。印象最深的是《如果没有李白》，两位老师的朗诵现场完美。喜欢《抱月入怀》《九州同》
2019/2/10 17:04,涼宮琴,0,10,只有中国能办的节目
2019/2/10 16:25,亚特BAI_,0,10,和第一季一样优秀 希望更多的人可以看看这个节目 传承历史 重视国宝
2019/2/10 16:02,萧什么歌,0,10,为我中华文明自豪
2019/2/10 14:53,逆臣路西法,0,10,非常棒，感覺請明星是為了更好的“讓國寶活起來”，彈幕爭吵有時會讓人很難受，但是還好。每一件國寶都是讓我非常神往的，希望以後能有機會去各大博物館拜訪。
2019/2/10 14:37,朝朝误尽花信风,0,10,完美
2019/2/10 14:11,joyjuly510,0,10,良心制作，期待第3季，生生不息，让我们的子孙后代都能了解老祖宗的文化历史传承。
2019/2/10 13:39,AlleGIF,0,10,诚意满满的节目，我们第三季再见~
2019/2/10 12:39,西西西瓜瓜瓜瓜瓜瓜,0,10,我的李太白啊。真是受不了，太令人泪目了155551～
2019/2/10 10:44,张大麻花,0,10,令人感动，我爱汉服
2019/2/10 10:35,黑卡baby,0,10,666
2019/2/10 10:14,无酒无乾,0,10,为什么我的眼泪常含泪水，因为我对这土地爱得深沉。
